Velocity (m/s),Time (s),Model Speed (m/s),Acceleration (m/s2),Force (N),Force (N/kg),Power (W/kg),Ratio Force (%),F0 (N),F0 (N/kg),V0 (m/s),Pmax (W),Pmax (W/kg),FV Profile Slope,RFmax,Drf
11.01,3.3,10.88093843612576,0.9477816541124129,127.62933251377102,1.357758856529479,14.773690529001769,0.1092815399252951,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.21,3.4,10.972723944102695,0.8885651973530994,122.71589539773984,1.305488248912126,14.324762167582785,0.10512186173403863,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.27,3.5,11.058774784668984,0.8330485260200099,118.11442611463669,1.2565364480280499,13.895753587470127,0.10122127913826029,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.31,3.6,11.139449254150872,0.7810004811929856,113.80483023269957,1.2106896833265912,13.486416289940552,0.09756387080251573,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.37,3.7,11.215083262875869,0.7322043465316976,109.76834179505454,1.1677483169686653,13.096394604886743,0.09413464787533064,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.41,3.8,11.285991733827725,0.6864569459175972,105.98743148158974,1.1275258668254227,12.72524761266866,0.09091950852384817,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.45,3.9,11.352469913914835,0.6435677974743009,102.44572157846137,1.0898481018985253,12.372467787540197,0.08790519284553425,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.48,4.0,11.414794603311881,0.6033583204439473,99.12790720040877,1.0545522042596678,12.037496810093904,0.0850792385883446,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.5,4.1,11.473225307993458,0.5656610916171236,96.01968326139448,1.0214859921424944,11.719738936810073,0.08242993800260286,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.53,4.2,11.528005320258506,0.5303191482203181,93.1076767343844,0.9905071993019617,11.418572263307368,0.07994629606040438,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.57,4.3,11.57936273174468,0.4971853343582705,90.37938378188105,0.9614828061902239,11.133358173212372,0.0776179902080714,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.6,4.4,11.627511383150571,0.46612168828995404,87.82311137560738,0.9342884188894403,10.863449225782716,0.07543533176103663,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.64,4.5,11.672651754620228,0.43699886798694937,85.42792305693698,0.9088076920950742,10.608195701745927,0.07338922900600015,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.69,4.6,11.714971800497347,0.4096956125823573,83.18358851965598,0.8849317927622977,10.36695099757388,0.07147115204017604,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.72,4.7,11.754647731924832,0.3840982374678498,81.08053672376471,0.8625589013166458,10.139076033013286,0.06967309935017031,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.76,4.8,11.791844750548334,0.3601001609365586,79.10981227357954,0.8415937475912717,9.923942814628436,0.06798756611205649,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.8,4.9,11.826717736378695,0.3376014604008416,77.26303481564268,0.8219471788898158,9.720937278942618,0.06640751417833397,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.84,5.0,11.859411892677452,0.3165084563371269,75.53236123213372,0.8035357577886566,9.529461522110383,0.06492634370568723,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
11.86,5.1,11.890063350550527,0.29673332222546617,73.91045042380216,0.7862813874872571,9.348935508582253,0.06353786636898771,734.1402644587139,7.8100028133905735,13.194359484040206,2421.627640244154,25.76199617281015,-0.591919814132508,49.37%,-4.29%
